Program,Project Number,Project Title,Project Description,Area Primary,Area Secondary,Discipline Primary,Discipline Secondary,Round,Approval Date,Lead Research Institution,City,Ontario Commitment,Total Project Costs,Keyword,EXPENDITURE_TYPE,Salutation,First_Name,Middle_Name,Last_Name,OIA_AREA
Ontario Research Fund - Research Infrastructure,10648,Density matrix renormalization group simulations of systems in condensed matter physics and quantum chemistry.,"Proposed infrastructure to consist of a computer cluster optimally suited for Density Matrix Renormalization Group (DMRG) based research.  The research consists of two primary components: (1) DMRG algorithm and code development, and (2) simulations of systems in condensed matter physics and quantum chemistry using the DMRG.",7.6.3,N/A,12300,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,University of Windsor,Windsor,"$50,000","$175,708","density matrix renormalization group, numerical simulations, condensed matter physics, strongly correlated electrons, quantum chemistry, computer cluster",Capital,,H.,Eugene,Kim,Not Applicable
Ontario Research Fund - Research Infrastructure,10389,Adolescent Depressive Vulnerability through the Lens of Face-to-Face and Day-to-Day Social Interaction,"The proposed infrastructure, consisting of on-site and off-site assessment components (including computer, video recording and other ancillary A/V equipment), will facilitate research into the vulnerability factors that place adolescent at risk for depression.",4,N/A,15100,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Toronto,Toronto,"$59,422","$148,557","Depression, Adolescence, Cognitive Vulnerability Markers, Sociometric Vulnerability Markers, Integrative Models, Social Interaction, Time-Sampling Techniques",Capital,,Marc,A.,Fournier,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10403,Autonomic Computing Laboratory,"Autonomic Computing Laboratory will enable research  aimed at improving management of large scale information technology systems, currently a major challenge for the computer and telecommunications industries.",2.5,N/A,11800,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,University of Toronto,Toronto,"$292,551","$731,377","scaling, availability, adaptive, self-managing, self-optimizing, self-healing, intrusion, security, virtualization, autonomic, recovery",Capital,,Cristiana,,Amza,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,10449,Laboratory for Forest Genomics,"The proposed facility  will enable the examination of the genetic circuitry encoded within a tree genome and determine the factors that affect adaptation to ever-changing environment. The expected results (i.e. improvements in forest tree breeding, production and conservation) may have a profound effect on forestry, one of Canada's primary industries.",6.3,N/A,14400,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,University of Toronto,Toronto,"$200,000","$500,000","Comparative Functional Genomics, Molecular Biology, Transcriptomics, Bioinformatics, Genetics, Forestry, Botany, rural, climate change",Capital,,Malcolm,Matheson,Campbell,Not Applicable
Ontario Research Fund - Research Infrastructure,203025,STOE IPDS Diffractometer - State-of-the-art Image Plate Single Crystal-X-ray Diffractometer for Investigation of Complex Inorganic Solid-state Materials,"Researchers at McMaster University intend to use a new scientific instrument to develop a variety of new, energy efficient materials for use in diverse areas such as microelectronics, refrigeration, air conditioning and automotive production. The machine, a STOE IPDS Diffractometer, will be the first of its kind in Canada. It manipulates x-rays to produce precise structural information for both simple and complex inorganic solid-state materials. Yurij Mozharivskyj will lead the research connected to the synthesis and characterization of a variety of novel materials with unique physical and structural responses.",7.6,N/A,13000,99998,Small Infrastructure Fund - Round 007 - 2006 - June,21-Dec-06,McMaster University,Hamilton,"$100,000","$261,369","magnetocaloric materials for magnetic refrigeration, temperature sensors, thermoelectric materials, ferromagnetic shape memory alloys, materials design and application",Capital,,Yurij,,Mozharivskyj,Not Applicable
Ontario Research Fund - Research Infrastructure,203200,Infrastructure to investigate the role of T lymphocytes in the pathogenesis of allergic asthma and the development of peptide-based vaccines for the treatment of allergic and autoimmune diseases.,"Allergic and autoimmune diseases, such as asthma and allergic rhinitis, affect one in every three people in the industrial world and impose major health and economic burdens on the lives of millions of Canadians. Current treatment approaches, which deal primarily with symptoms, not causes, are losing ground to these diseases. Dr. Mark Larché of McMaster University’s Faculty of Health Sciences proposes to use new equipment funded with an Ontario Research Fund infrastructure award to investigate fundamental questions of the immune response as it relates to allergic and autoimmune disease, and to manipulate this response in order to cure these chronic inflammatory diseases.  A major focus of the research program is the creation of anti-allergy vaccines which can lead to reductions in the costs of future health care and illness.",4.1,N/A,15200,99998,Small Infrastructure Fund - Round 006 - 2006 - February,31-Aug-06,McMaster University,Hamilton,"$197,078","$492,695","immunology, immunomodulation, asthma, allergy, autoimmunity",Capital,,Mark,,Larché,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10484,"Malleable, Cost-effective, High-performance Computing Systems","A malleable, cost-effective, high-performance computing system will be researched and developed to provide a comprehensive hardware/software design automation platform, and self-adaptive and reliable computation solutions to a wide range of applications, including multimedia, telecommunications and bioinformatics.",7.6,N/A,11600,99998,Small Infrastructure Fund - Round 003 - 2005 - February,22-Jul-05,Queen's University,Kingston,"$100,000","$441,005","Reconfigurable architectures, self-adaptive computing, application-specifc computing, configurable processors, power and thermal constraints, multimedia, telecommunications, bioinformatics, design optimization, high-performance computing",Capital,,Shang,,Li,Digital media and information and communications technologies
Ontario Research Fund - Research Infrastructure,10515,Cold Regions Biogeochemical Research,The proposed research will investigate the biogeochemcial response of Canada's cold regions to global change by evaluating the influence of climate variability and anthropogenic activities on the chemistry of surface waters in alpine and arctic environments.,3.10,N/A,13500,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Queen's University,Kingston,"$128,000","$320,000","biogeochemistry, arctic and alpine environments, hydrology, hydrochemistry, nutrient dynamics, dissolved organic carbon dynamics, snow and ice chemistry, aqueous geochemistry, global change",Capital,,Melissa,,Lafreniere,Not Applicable
Ontario Research Fund - Research Infrastructure,10673,Sexual Health Research Facility,"The research infrastructure is required for the investigation of mechanisms involved in the development and maintenance of chronic vulvar pain (vulvodynia).  The multidisciplinary approach encompasses a combination of basic science and clinical research in an effort to identify new strategies for assessment, diagnosis, and treatment.",4,N/A,15100,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Queen's University,Kingston,"$64,000","$160,000","sexual health laboratory, psychophysical measurement, blood flow imaging, quantitative sensory testing, vulvalgesiometer",Capital,,Caroline,,Pukall,Advanced health technologies
Ontario Research Fund - Research Infrastructure,10677,Role of Vagal Afferents in Nutrient Signalling in Health and Disease,"The objective of the research is to understand the mechanisms of food sensing by our bodies' nervous system (I.e. vagus nerve) in the gut and liver. It is hypothesised that the vagus nerve is ""desensitized"" in cases of obesity, and ""hypersensitive"" in gastrointestinal and liver disease. The ultimate goal is to discover new ways, either pharmacological or dietary, of manipulating vagal nerve signals to allow food intake that matches the needs of the individual.",4.9,N/A,15200,99998,Small Infrastructure Fund - Round 004 - 2005 - June,24-Oct-05,Queen's University,Kingston,"$125,000","$312,500","vagus nerve, satiety, food intake, obesity, neurophysiology, afferent nerve, ion channel, inflammation, patch clamp, electrophysiology",Capital,,Michael,,Beyak,Advanced health technologies
